Order_ID,Order_Date,Product_Name,Category,Quantity,Selling_Price,Cost_Price,Region
1001,2024-01-01,Jeans,Fashion,3,1500,900,Kolkata
1002,2024-01-01,Sunglasses,Accessories,3,1500,800,Mumbai
1003,2024-01-04,Perfume,Beauty,2,2500,1500,Pune
1004,2024-01-04,Lamp,Home Decor,2,1500,1000,Bangalore
1005,2024-01-04,Toaster,Appliances,2,1200,800,Kolkata
1006,2024-01-05,T-Shirt,Fashion,3,800,400,Mumbai
1007,2024-01-06,Rice Bag,Groceries,2,600,500,Mumbai
1008,2024-01-07,Toaster,Appliances,1,1200,800,Mumbai
1009,2024-01-07,Chocolates,Groceries,5,200,150,Hyderabad
1010,2024-01-08,Toaster,Appliances,1,1200,800,Pune
1011,2024-01-09,Toaster,Appliances,3,1200,800,Pune
1012,2024-01-11,Iron,Appliances,1,1000,600,Mumbai
1013,2024-01-13,Bag,Fashion,1,2500,1500,Delhi
1014,2024-01-14,Sunglasses,Accessories,3,1500,800,Bangalore
1015,2024-01-15,Coffee Powder,Groceries,3,400,300,Pune
1016,2024-01-16,Lipstick,Beauty,5,500,300,Hyderabad
1017,2024-01-16,Watch,Accessories,2,5000,3500,Delhi
1018,2024-01-18,Jeans,Fashion,4,1500,900,Delhi
1019,2024-01-18,T-Shirt,Fashion,6,800,400,Hyderabad
1020,2024-01-19,Lamp,Home Decor,1,1500,1000,Mumbai
1021,2024-01-21,Cushion,Home Decor,2,500,300,Chennai
1022,2024-01-22,Vase,Home Decor,1,800,400,Chennai
1023,2024-01-22,Bag,Fashion,2,2500,1500,Kolkata
1024,2024-01-25,Headphones,Electronics,2,3000,2000,Chennai
1025,2024-01-25,Headphones,Electronics,3,3000,2000,Mumbai
1026,2024-01-26,Belt,Accessories,4,1000,600,Chennai
1027,2024-01-27,Cushion,Home Decor,2,500,300,Bangalore
1028,2024-01-28,Cushion,Home Decor,2,500,300,Delhi
1029,2024-02-02,Dress,Fashion,2,3000,1800,Mumbai
1030,2024-02-05,Chocolates,Groceries,7,200,150,Kolkata
1031,2024-02-05,T-Shirt,Fashion,3,800,400,Kolkata
1032,2024-02-09,Toaster,Appliances,2,1200,800,Pune
1033,2024-02-11,Microwave,Appliances,2,8000,6000,Kolkata
1034,2024-02-13,Dress,Fashion,2,3000,1800,Bangalore
1035,2024-02-13,Blender,Appliances,1,2500,1800,Delhi
1036,2024-02-13,Watch,Accessories,1,5000,3500,Mumbai
1037,2024-02-13,Blender,Appliances,2,2500,1800,Kolkata
1038,2024-02-14,Chocolates,Groceries,8,200,150,Chennai
1039,2024-02-15,Lipstick,Beauty,5,500,300,Hyderabad
1040,2024-02-17,Wallet,Accessories,2,1200,700,Pune
1041,2024-02-18,Oil Can,Groceries,2,1200,1100,Kolkata
1042,2024-02-20,Lipstick,Beauty,4,500,300,Hyderabad
1043,2024-02-22,Toaster,Appliances,1,1200,800,Mumbai
1044,2024-02-23,Cushion,Home Decor,2,500,300,Delhi
1045,2024-02-24,Iron,Appliances,1,1000,600,Bangalore
1046,2024-02-25,Microwave,Appliances,2,8000,6000,Kolkata
1047,2024-02-25,Headphones,Electronics,3,3000,2000,Delhi
1048,2024-02-25,Headphones,Electronics,3,3000,2000,Mumbai
1049,2024-02-27,Lipstick,Beauty,5,500,300,Hyderabad
1050,2024-02-27,Toaster,Appliances,1,1200,800,Bangalore
1051,2024-03-01,Charger,Electronics,3,500,200,Chennai
1052,2024-03-05,Toaster,Appliances,1,1200,800,Bangalore
1053,2024-03-07,Belt,Accessories,3,1000,600,Hyderabad
1054,2024-03-08,Moisturizer,Beauty,2,800,500,Hyderabad
1055,2024-03-08,Shoes,Fashion,1,2000,1200,Chennai
1056,2024-03-08,Chocolates,Groceries,6,200,150,Delhi
1057,2024-03-10,T-Shirt,Fashion,6,800,400,Bangalore
1058,2024-03-10,Watch,Accessories,2,5000,3500,Delhi
1059,2024-03-12,Belt,Accessories,3,1000,600,Mumbai
1060,2024-03-12,Smartphone,Electronics,2,20000,15000,Hyderabad
1061,2024-03-13,Wallet,Accessories,2,1200,700,Chennai
1062,2024-03-14,Charger,Electronics,5,500,200,Bangalore
1063,2024-03-15,T-Shirt,Fashion,5,800,400,Delhi
1064,2024-03-16,Chocolates,Groceries,6,200,150,Delhi
1065,2024-03-16,Watch,Accessories,1,5000,3500,Hyderabad
1066,2024-03-16,Toaster,Appliances,2,1200,800,Kolkata
1067,2024-03-16,Cushion,Home Decor,4,500,300,Delhi
1068,2024-03-16,Rice Bag,Groceries,2,600,500,Delhi
1069,2024-03-17,Lipstick,Beauty,4,500,300,Chennai
1070,2024-03-18,Charger,Electronics,3,500,200,Pune
1071,2024-03-19,Wallet,Accessories,2,1200,700,Hyderabad
1072,2024-03-20,Iron,Appliances,2,1000,600,Kolkata
1073,2024-03-22,Smartphone,Electronics,1,20000,15000,Hyderabad
1074,2024-03-22,Chocolates,Groceries,7,200,150,Chennai
1075,2024-03-23,T-Shirt,Fashion,3,800,400,Bangalore
1076,2024-03-24,Microwave,Appliances,1,8000,6000,Mumbai
1077,2024-03-28,Vase,Home Decor,3,800,400,Bangalore
1078,2024-04-02,Cushion,Home Decor,4,500,300,Delhi
1079,2024-04-03,Coffee Powder,Groceries,5,400,300,Mumbai
1080,2024-04-04,Microwave,Appliances,2,8000,6000,Kolkata
1081,2024-04-05,Vase,Home Decor,2,800,400,Bangalore
1082,2024-04-06,T-Shirt,Fashion,3,800,400,Kolkata
1083,2024-04-06,Headphones,Electronics,2,3000,2000,Hyderabad
1084,2024-04-06,Iron,Appliances,3,1000,600,Kolkata
1085,2024-04-07,Hair Dryer,Beauty,2,1800,1200,Mumbai
1086,2024-04-07,Bag,Fashion,2,2500,1500,Delhi
1087,2024-04-08,Headphones,Electronics,2,3000,2000,Mumbai
1088,2024-04-08,Coffee Powder,Groceries,5,400,300,Delhi
1089,2024-04-10,Belt,Accessories,3,1000,600,Bangalore
1090,2024-04-10,Headphones,Electronics,3,3000,2000,Delhi
1091,2024-04-11,Iron,Appliances,2,1000,600,Hyderabad
1092,2024-04-11,Charger,Electronics,5,500,200,Chennai
1093,2024-04-13,Coffee Powder,Groceries,4,400,300,Chennai
1094,2024-04-14,Belt,Accessories,2,1000,600,Bangalore
1095,2024-04-16,Laptop,Electronics,1,55000,45000,Mumbai
1096,2024-04-18,Vase,Home Decor,2,800,400,Bangalore
1097,2024-04-18,Cushion,Home Decor,2,500,300,Bangalore
1098,2024-04-20,Watch,Accessories,1,5000,3500,Mumbai
1099,2024-04-23,Iron,Appliances,1,1000,600,Chennai
1100,2024-04-24,Microwave,Appliances,2,8000,6000,Delhi
1101,2024-04-25,Charger,Electronics,3,500,200,Mumbai
1102,2024-04-25,Vase,Home Decor,3,800,400,Pune
1103,2024-04-26,Shoes,Fashion,2,2000,1200,Bangalore
1104,2024-04-27,Belt,Accessories,4,1000,600,Mumbai
1105,2024-04-27,Lamp,Home Decor,2,1500,1000,Kolkata
1106,2024-04-28,Lamp,Home Decor,3,1500,1000,Mumbai
1107,2024-04-28,Toaster,Appliances,3,1200,800,Mumbai
1108,2024-05-01,Iron,Appliances,3,1000,600,Chennai
1109,2024-05-01,Moisturizer,Beauty,3,800,500,Pune
1110,2024-05-01,Rice Bag,Groceries,3,600,500,Bangalore
1111,2024-05-02,Charger,Electronics,5,500,200,Hyderabad
1112,2024-05-02,Bag,Fashion,1,2500,1500,Mumbai
1113,2024-05-02,T-Shirt,Fashion,3,800,400,Chennai
1114,2024-05-04,Wallet,Accessories,2,1200,700,Hyderabad
1115,2024-05-04,Shoes,Fashion,2,2000,1200,Pune
1116,2024-05-05,Belt,Accessories,4,1000,600,Delhi
1117,2024-05-05,Cushion,Home Decor,4,500,300,Mumbai
1118,2024-05-06,Watch,Accessories,2,5000,3500,Mumbai
1119,2024-05-07,Shoes,Fashion,2,2000,1200,Delhi
1120,2024-05-08,Coffee Powder,Groceries,4,400,300,Mumbai
1121,2024-05-09,Shoes,Fashion,2,2000,1200,Mumbai
1122,2024-05-10,Coffee Powder,Groceries,3,400,300,Delhi
1123,2024-05-11,Cushion,Home Decor,4,500,300,Delhi
1124,2024-05-11,Charger,Electronics,4,500,200,Delhi
1125,2024-05-13,Charger,Electronics,4,500,200,Delhi
1126,2024-05-17,Blender,Appliances,2,2500,1800,Mumbai
1127,2024-05-18,Iron,Appliances,1,1000,600,Mumbai
1128,2024-05-20,Bag,Fashion,2,2500,1500,Pune
1129,2024-05-22,Charger,Electronics,5,500,200,Pune
1130,2024-05-22,Charger,Electronics,4,500,200,Delhi
1131,2024-05-24,Cushion,Home Decor,4,500,300,Chennai
1132,2024-05-24,Jeans,Fashion,3,1500,900,Pune
1133,2024-05-25,Hair Dryer,Beauty,3,1800,1200,Hyderabad
1134,2024-05-27,Coffee Powder,Groceries,5,400,300,Delhi
1135,2024-05-27,Hair Dryer,Beauty,1,1800,1200,Delhi
1136,2024-05-28,Bag,Fashion,2,2500,1500,Kolkata
1137,2024-05-28,Headphones,Electronics,3,3000,2000,Bangalore
1138,2024-06-01,T-Shirt,Fashion,4,800,400,Mumbai
1139,2024-06-01,Toaster,Appliances,1,1200,800,Delhi
1140,2024-06-02,Coffee Powder,Groceries,5,400,300,Chennai
1141,2024-06-03,Belt,Accessories,2,1000,600,Pune
1142,2024-06-04,Toaster,Appliances,2,1200,800,Delhi
1143,2024-06-04,T-Shirt,Fashion,5,800,400,Delhi
1144,2024-06-04,Wall Art,Home Decor,2,2000,1200,Chennai
1145,2024-06-04,Charger,Electronics,5,500,200,Kolkata
1146,2024-06-06,Lipstick,Beauty,3,500,300,Hyderabad
1147,2024-06-06,T-Shirt,Fashion,3,800,400,Chennai
1148,2024-06-08,Blender,Appliances,1,2500,1800,Kolkata
1149,2024-06-08,Headphones,Electronics,2,3000,2000,Delhi
1150,2024-06-09,Charger,Electronics,4,500,200,Mumbai
1151,2024-06-12,T-Shirt,Fashion,3,800,400,Mumbai
1152,2024-06-15,Moisturizer,Beauty,4,800,500,Mumbai
1153,2024-06-17,Charger,Electronics,4,500,200,Chennai
1154,2024-06-18,Vase,Home Decor,1,800,400,Bangalore
1155,2024-06-20,Chocolates,Groceries,7,200,150,Mumbai
1156,2024-06-21,T-Shirt,Fashion,4,800,400,Chennai
1157,2024-06-21,Laptop,Electronics,1,55000,45000,Kolkata
1158,2024-06-23,Vase,Home Decor,1,800,400,Hyderabad
1159,2024-06-24,Toaster,Appliances,3,1200,800,Mumbai
1160,2024-06-26,Rice Bag,Groceries,3,600,500,Mumbai
1161,2024-06-28,Chocolates,Groceries,8,200,150,Mumbai
1162,2024-07-04,Coffee Powder,Groceries,5,400,300,Delhi
1163,2024-07-05,Shoes,Fashion,1,2000,1200,Pune
1164,2024-07-05,Coffee Powder,Groceries,3,400,300,Hyderabad
1165,2024-07-06,Wallet,Accessories,3,1200,700,Chennai
1166,2024-07-08,Moisturizer,Beauty,4,800,500,Delhi
1167,2024-07-11,Dress,Fashion,2,3000,1800,Kolkata
1168,2024-07-14,Shoes,Fashion,1,2000,1200,Chennai
1169,2024-07-15,Toaster,Appliances,2,1200,800,Mumbai
1170,2024-07-15,Chocolates,Groceries,6,200,150,Bangalore
1171,2024-07-15,Perfume,Beauty,2,2500,1500,Bangalore
1172,2024-07-15,Dress,Fashion,1,3000,1800,Mumbai
1173,2024-07-16,Headphones,Electronics,2,3000,2000,Delhi
1174,2024-07-17,T-Shirt,Fashion,3,800,400,Delhi
1175,2024-07-19,Vase,Home Decor,3,800,400,Kolkata
1176,2024-07-19,Chocolates,Groceries,6,200,150,Delhi
1177,2024-07-20,Charger,Electronics,4,500,200,Pune
1178,2024-07-20,Headphones,Electronics,2,3000,2000,Bangalore
1179,2024-07-21,Belt,Accessories,3,1000,600,Pune
1180,2024-07-21,Watch,Accessories,1,5000,3500,Hyderabad
1181,2024-07-22,Shoes,Fashion,2,2000,1200,Bangalore
1182,2024-07-24,Perfume,Beauty,2,2500,1500,Chennai
1183,2024-07-24,Watch,Accessories,1,5000,3500,Mumbai
1184,2024-07-26,Smartphone,Electronics,2,20000,15000,Kolkata
1185,2024-07-27,Dress,Fashion,2,3000,1800,Kolkata
1186,2024-07-28,Cushion,Home Decor,3,500,300,Kolkata
1187,2024-07-28,Toaster,Appliances,1,1200,800,Pune
1188,2024-08-01,Toaster,Appliances,2,1200,800,Mumbai
